date,gps-Accuracy,gps-Latitude,gps-Longitude,planting_day,weed_removal_day,historical_striga,crop_type,rainfall_intensity_index,soil_fertility_index,habitat_suitability_index,risk_score,risk_score_level,risk_level,recommendation
2025-04-02T15:58:52.634+02:00,3.3,-12.3371886,33.5340394,2024-12-28T09:33:00.000+02:00,2025-01-16,yes,maize,0.294,0.308,,,,,
2025-04-02T15:51:20.175+02:00,4.15,-12.3372694,33.5340869,2025-03-04T09:40:00.000+02:00,2024-12-28,yes,maize,0.215,0.308,,,,,
2025-04-02T15:47:03.925+02:00,3.971,-12.3374787,33.5344852,2024-12-28T09:43:00.000+02:00,2025-01-16,yes,maize,0.294,0.308,,,,,
2025-04-01T21:55:56.602+02:00,4.206,-12.3364567,33.5298598,2024-12-26T05:27:00.000+02:00,2025-02-18,yes,maize,0.295,0.308,,,,,
2025-04-01T21:49:09.384+02:00,4.947,-12.3365095,33.5301667,2025-01-08T05:30:00.000+02:00,2025-02-15,yes,maize,0.286,0.308,,,,,
2025-04-01T21:40:42.127+02:00,4.446,-12.3355743,33.529112,2024-12-31T05:28:00.000+02:00,2025-02-19,yes,maize,0.312,0.308,,,,,
2025-04-01T21:31:33.406+02:00,3.882,-12.3370348,33.5310899,2025-01-08T05:26:00.000+02:00,2025-02-28,yes,maize,0.286,0.308,,,,,
2025-04-01T21:26:11.381+02:00,4.824,-12.3373019,33.5315671,2025-01-01T04:02:00.000+02:00,2025-02-11,yes,maize,0.291,0.308,,,,,
2025-04-01T18:06:24.619+02:00,4.366,-12.3339483,33.5288667,2024-12-28T05:00:00.000+02:00,2025-01-16,no,maize,0.304,0.308,,,,,
2025-04-01T17:50:51.628+02:00,4.942,-12.334196,33.5295347,2024-12-28T05:00:00.000+02:00,2025-01-10,yes,maize,0.304,0.308,,,,,
2025-04-01T17:43:38.978+02:00,4.96,-12.3360216,33.5300762,2024-12-07T05:00:00.000+02:00,2024-12-18,no,maize,0.291,0.308,,,,,
2025-04-01T17:36:56.156+02:00,4.92,-12.3368762,33.5310878,2024-12-21T05:00:00.000+02:00,2025-01-07,yes,maize,0.31,0.308,,,,,
2025-04-01T17:27:07.249+02:00,4.816,-12.3374497,33.5320498,2024-12-14T05:00:00.000+02:00,2024-12-30,yes,maize,0.292,0.308,,,,,
2025-04-01T08:55:25.768+02:00,0.898,-12.3388619,33.5381315,2025-01-16T06:54:00.000+02:00,2025-02-26,yes,maize,0.301,0.308,,,,,
2025-04-01T08:55:25.610+02:00,0.977,-12.3388631,33.5380987,2025-01-14T07:39:00.000+02:00,2025-02-15,yes,maize,0.297,0.308,,,,,
2025-04-01T08:55:25.410+02:00,0.853,-12.3374873,33.5288714,2025-01-11T06:14:00.000+02:00,2025-02-23,yes,maize,0.288,0.308,,,,,
2025-04-01T08:55:25.205+02:00,1.774,-12.33752,33.5300292,2025-01-13T06:01:00.000+02:00,2025-02-21,yes,maize,0.292,0.308,,,,,
2025-04-01T08:55:25.036+02:00,0.812,-12.3378373,33.531163,2025-01-14T07:48:00.000+02:00,2025-02-18,yes,maize,0.297,0.308,,,,,
2025-03-31T15:36:32.263+02:00,1.43,-12.3389758,33.5385229,2024-12-10T06:42:00.000+02:00,2025-02-26,yes,maize,0.294,0.308,,,,,
2025-03-31T15:35:16.782+02:00,1.18,-12.3373773,33.5292476,2024-12-20T07:18:00.000+02:00,2025-01-16,yes,maize,0.304,0.308,,,,,
2025-03-31T15:33:43.167+02:00,1.278,-12.3374095,33.5297824,2024-12-04T07:06:00.000+02:00,2025-01-08,yes,maize,0.282,0.308,,,,,
2025-03-31T15:31:43.323+02:00,1.009,-12.3376137,33.53047,2024-11-21T07:55:00.000+02:00,2024-12-30,yes,maize,0.287,0.308,,,,,
2025-03-31T15:29:11.971+02:00,0.683,-12.3377123,33.5323892,2024-11-29T08:45:00.000+02:00,2024-12-19,yes,maize,0.298,0.308,,,,,
2025-03-31T09:30:42.426+02:00,14.75,-12.3366124,33.5332868,2025-03-04T09:27:00.000+02:00,2025-03-11,yes,maize,0.218,0.308,,,,,
2025-03-31T09:25:07.305+02:00,2.616,-12.3364917,33.533166,2025-01-15T06:00:00.000+02:00,2025-02-12,no,maize,0.305,0.308,,,,,
2025-03-31T09:19:37.217+02:00,3.95,-12.3366491,33.5324432,2025-01-14T06:15:00.000+02:00,2025-02-19,yes,maize,0.301,0.308,,,,,
2025-03-31T09:10:59.071+02:00,3.3,-12.337615,33.5328025,2025-01-14T07:07:00.000+02:00,2025-02-27,yes,maize,0.301,0.308,,,,,
2025-03-31T08:57:59.919+02:00,10.579,-12.3378534,33.5328393,2025-01-15T08:47:00.000+02:00,2025-02-27,yes,maize,0.305,0.308,,,,,
2025-03-31T08:50:23.472+02:00,3.9,-12.3377057,33.533087,2025-01-14T06:00:00.000+02:00,2025-02-20,yes,maize,0.301,0.308,,,,,
